# bubble_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 2.220e-07 2.910e-07 2.528e-07 1.613e-08
      13 2.680e-07 3.380e-07 3.019e-07 1.688e-08
      16 3.240e-07 4.350e-07 3.742e-07 2.653e-08
      20 3.990e-07 5.000e-07 4.467e-07 2.365e-08
      25 5.020e-07 6.350e-07 5.649e-07 3.244e-08
      32 6.510e-07 8.050e-07 7.188e-07 3.579e-08
      40 8.170e-07 9.700e-07 8.928e-07 3.743e-08
      50 1.086e-06 1.303e-06 1.189e-06 5.012e-08
      63 1.439e-06 1.688e-06 1.560e-06 5.735e-08
      79 1.869e-06 2.128e-06 1.998e-06 6.145e-08
     100 2.441e-06 2.738e-06 2.584e-06 7.132e-08
     126 3.299e-06 3.660e-06 3.476e-06 8.591e-08
     158 4.401e-06 4.895e-06 4.645e-06 1.162e-07
     200 5.908e-06 6.469e-06 6.183e-06 1.357e-07
     251 7.597e-06 8.308e-06 7.941e-06 1.766e-07
     316 1.019e-05 1.103e-05 1.062e-05 2.079e-07
     398 1.345e-05 1.452e-05 1.400e-05 2.653e-07
     501 1.773e-05 1.905e-05 1.838e-05 3.417e-07
     631 2.320e-05 2.502e-05 2.407e-05 4.708e-07
     794 3.007e-05 3.288e-05 3.168e-05 7.438e-07
    1000 3.913e-05 4.282e-05 4.108e-05 1.024e-06
    1259 5.148e-05 5.614e-05 5.385e-05 1.277e-06
    1585 6.739e-05 7.364e-05 7.019e-05 1.667e-06
    1995 8.836e-05 9.630e-05 9.187e-05 2.094e-06
    2512 1.151e-04 1.256e-04 1.199e-04 2.942e-06
    3162 1.494e-04 1.601e-04 1.546e-04 2.294e-06
    3981 1.963e-04 2.141e-04 2.037e-04 4.456e-06
    5012 2.566e-04 2.792e-04 2.665e-04 5.279e-06
    6310 3.335e-04 3.623e-04 3.451e-04 6.377e-06
    7943 4.334e-04 4.742e-04 4.498e-04 9.371e-06
   10000 5.655e-04 6.180e-04 5.867e-04 1.289e-05
   12589 7.414e-04 8.063e-04 7.696e-04 1.609e-05
   15849 9.651e-04 1.050e-03 1.002e-03 1.980e-05
   19953 1.250e-03 1.362e-03 1.294e-03 2.818e-05
   25119 1.628e-03 1.772e-03 1.680e-03 3.521e-05
   31623 2.118e-03 2.645e-03 2.258e-03 1.566e-04
   39811 3.287e-03 3.567e-03 3.397e-03 6.588e-05
   50119 4.276e-03 4.629e-03 4.416e-03 8.379e-05
   63096 5.511e-03 5.918e-03 5.699e-03 9.771e-05
   79433 7.189e-03 7.656e-03 7.420e-03 1.084e-04
  100000 9.250e-03 9.872e-03 9.551e-03 1.496e-04
  125893 1.210e-02 1.286e-02 1.247e-02 1.811e-04
  158489 1.555e-02 1.659e-02 1.605e-02 2.434e-04
  199526 2.014e-02 2.146e-02 2.077e-02 3.090e-04
  251189 2.613e-02 2.780e-02 2.692e-02 3.999e-04
  316228 3.392e-02 3.611e-02 3.500e-02 5.061e-04
  398107 4.401e-02 4.665e-02 4.528e-02 6.341e-04
  501187 5.741e-02 6.106e-02 5.933e-02 8.137e-04
  630957 7.477e-02 7.882e-02 7.680e-02 9.608e-04
#------- --------- --------- --------- ---------


# quick_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 2.330e-07 3.210e-07 2.689e-07 2.491e-08
      13 2.640e-07 3.170e-07 2.904e-07 1.223e-08
      16 2.980e-07 3.910e-07 3.365e-07 2.437e-08
      20 3.890e-07 4.720e-07 4.310e-07 2.009e-08
      25 4.640e-07 5.840e-07 5.181e-07 2.794e-08
      32 5.960e-07 7.610e-07 6.744e-07 4.026e-08
      40 7.670e-07 9.090e-07 8.349e-07 3.482e-08
      50 9.770e-07 1.161e-06 1.068e-06 4.324e-08
      63 1.287e-06 1.523e-06 1.401e-06 5.597e-08
      79 1.682e-06 1.957e-06 1.821e-06 6.541e-08
     100 2.234e-06 2.568e-06 2.396e-06 7.827e-08
     126 2.973e-06 3.338e-06 3.157e-06 8.565e-08
     158 3.891e-06 4.346e-06 4.117e-06 1.059e-07
     200 5.189e-06 5.705e-06 5.438e-06 1.208e-07
     251 6.792e-06 7.384e-06 7.092e-06 1.435e-07
     316 8.946e-06 9.701e-06 9.334e-06 1.776e-07
     398 1.175e-05 1.266e-05 1.223e-05 2.081e-07
     501 1.544e-05 1.661e-05 1.604e-05 2.642e-07
     631 2.030e-05 2.163e-05 2.100e-05 3.258e-07
     794 2.662e-05 2.825e-05 2.746e-05 3.960e-07
    1000 3.482e-05 3.682e-05 3.586e-05 4.891e-07
    1259 4.553e-05 4.804e-05 4.687e-05 6.157e-07
    1585 5.937e-05 6.239e-05 6.104e-05 7.393e-07
    1995 7.749e-05 8.130e-05 7.947e-05 9.107e-07
    2512 1.009e-04 1.058e-04 1.035e-04 1.159e-06
    3162 1.308e-04 1.370e-04 1.343e-04 1.473e-06
    3981 1.695e-04 1.781e-04 1.743e-04 1.972e-06
    5012 2.191e-04 2.319e-04 2.256e-04 2.981e-06
    6310 2.850e-04 3.007e-04 2.931e-04 3.407e-06
    7943 3.677e-04 3.901e-04 3.790e-04 4.842e-06
   10000 4.741e-04 5.028e-04 4.903e-04 6.502e-06
   12589 6.176e-04 6.475e-04 6.347e-04 7.174e-06
   15849 7.961e-04 8.345e-04 8.183e-04 8.866e-06
   19953 1.029e-03 1.076e-03 1.056e-03 1.104e-05
   25119 1.332e-03 1.388e-03 1.364e-03 1.269e-05
   31623 1.705e-03 1.786e-03 1.752e-03 1.894e-05
   39811 2.186e-03 2.301e-03 2.251e-03 2.855e-05
   50119 2.857e-03 2.961e-03 2.915e-03 2.474e-05
   63096 3.659e-03 3.805e-03 3.742e-03 3.637e-05
   79433 4.679e-03 4.892e-03 4.802e-03 5.042e-05
  100000 6.031e-03 6.286e-03 6.171e-03 6.356e-05
  125893 7.745e-03 8.072e-03 7.936e-03 7.761e-05
  158489 9.934e-03 1.037e-02 1.017e-02 1.078e-04
  199526 1.282e-02 1.333e-02 1.312e-02 1.164e-04
  251189 1.647e-02 1.711e-02 1.683e-02 1.498e-04
  316228 2.109e-02 2.191e-02 2.153e-02 2.072e-04
  398107 2.711e-02 2.808e-02 2.763e-02 2.274e-04
  501187 3.491e-02 3.604e-02 3.551e-02 2.718e-04
  630957 4.473e-02 4.620e-02 4.548e-02 3.509e-04
  794328 5.724e-02 5.914e-02 5.825e-02 4.505e-04
 1000000 7.296e-02 7.582e-02 7.469e-02 5.937e-04
#------- --------- --------- --------- ---------


# merge_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 2.310e-07 3.210e-07 2.675e-07 2.480e-08
      13 2.630e-07 3.160e-07 2.889e-07 1.242e-08
      16 2.980e-07 3.910e-07 3.373e-07 2.455e-08
      20 3.460e-07 4.070e-07 3.750e-07 1.441e-08
      25 4.140e-07 4.960e-07 4.493e-07 1.875e-08
      32 5.180e-07 6.300e-07 5.673e-07 2.797e-08
      40 7.280e-07 8.810e-07 7.993e-07 3.740e-08
      50 9.590e-07 1.095e-06 1.021e-06 3.202e-08
      63 1.204e-06 1.366e-06 1.282e-06 3.916e-08
      79 1.625e-06 1.820e-06 1.722e-06 4.737e-08
     100 2.151e-06 2.369e-06 2.257e-06 5.254e-08
     126 2.772e-06 3.022e-06 2.895e-06 5.682e-08
     158 3.754e-06 4.051e-06 3.893e-06 6.967e-08
     200 5.000e-06 5.325e-06 5.164e-06 7.927e-08
     251 6.464e-06 6.822e-06 6.641e-06 8.928e-08
     316 8.771e-06 9.281e-06 9.018e-06 1.225e-07
     398 1.165e-05 1.216e-05 1.190e-05 1.189e-07
     501 1.498e-05 1.558e-05 1.528e-05 1.412e-07
     631 2.013e-05 2.090e-05 2.050e-05 1.831e-07
     794 2.654e-05 2.736e-05 2.697e-05 1.930e-07
    1000 3.421e-05 3.516e-05 3.466e-05 2.201e-07
    1259 4.538e-05 4.662e-05 4.600e-05 2.986e-07
    1585 5.996e-05 6.124e-05 6.059e-05 2.982e-07
    1995 7.686e-05 7.833e-05 7.757e-05 3.294e-07
    2512 1.013e-04 1.032e-04 1.022e-04 4.481e-07
    3162 1.334e-04 1.354e-04 1.343e-04 5.004e-07
    3981 1.709e-04 1.733e-04 1.720e-04 5.642e-07
    5012 2.230e-04 2.263e-04 2.247e-04 7.536e-07
    6310 2.942e-04 2.975e-04 2.957e-04 7.627e-07
    7943 3.763e-04 3.797e-04 3.779e-04 8.213e-07
   10000 4.883e-04 4.935e-04 4.906e-04 1.151e-06
   12589 6.431e-04 6.479e-04 6.453e-04 1.128e-06
   15849 8.202e-04 8.260e-04 8.229e-04 1.317e-06
   19953 1.060e-03 1.067e-03 1.064e-03 1.716e-06
   25119 1.394e-03 1.401e-03 1.397e-03 1.700e-06
   31623 1.777e-03 1.786e-03 1.781e-03 2.046e-06
   39811 2.290e-03 2.302e-03 2.296e-03 2.616e-06
   50119 3.003e-03 3.015e-03 3.009e-03 2.708e-06
   63096 3.824e-03 3.837e-03 3.831e-03 3.020e-06
   79433 4.921e-03 4.939e-03 4.930e-03 4.005e-06
  100000 6.432e-03 6.449e-03 6.441e-03 3.832e-06
  125893 8.190e-03 8.210e-03 8.200e-03 4.534e-06
  158489 1.051e-02 1.054e-02 1.053e-02 6.359e-06
  199526 1.373e-02 1.376e-02 1.374e-02 6.656e-06
  251189 1.745e-02 1.750e-02 1.748e-02 8.323e-06
  316228 2.239e-02 2.243e-02 2.241e-02 1.011e-05
  398107 2.911e-02 2.921e-02 2.918e-02 1.846e-05
  501187 3.619e-02 3.710e-02 3.706e-02 7.849e-05
  630957 4.725e-02 4.752e-02 4.746e-02 5.360e-05
  794328 6.159e-02 6.179e-02 6.174e-02 3.198e-05
#------- --------- --------- --------- ---------


# heap_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 2.880e-07 3.880e-07 3.297e-07 2.473e-08
